model,cond,test,cat,dist
Haiku,c0_neutral,abstraction (EN→EL),abstraction,"{2: np.int64(15), 3: np.int64(5)}"
Haiku,c0_neutral,func_words (EN→ES),function_words,"{3.0: np.int64(18), 2.0: np.int64(2)}"
Haiku,c0_neutral,func_words (EN→ES),fluency,"{4: np.int64(14), 5: np.int64(6)}"
Haiku,c0_neutral,grammar (EN→EL),mistranslation,"{2.0: np.int64(16), 5.0: np.int64(3), 3.0: np.int64(1)}"
Haiku,c0_neutral,grammar (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1), 3: np.int64(1)}"
Haiku,c0_neutral,locale_conv (EN→EL),fluency,"{5: np.int64(17), 4: np.int64(3)}"
Haiku,c0_neutral,mistranslation (EN→ES),addition,"{3: np.int64(10), 2: np.int64(7), 5: np.int64(3)}"
Haiku,c0_neutral,mistranslation (EN→ES),omission,"{2: np.int64(16), 5: np.int64(3), 3: np.int64(1)}"
Haiku,c0_neutral,mistranslation (EN→ES),mistranslation,"{2.0: np.int64(6), 4.0: np.int64(6), 1.0: np.int64(5), 3.0: np.int64(2), 5.0: np.int64(1)}"
Haiku,c0_neutral,mistranslation (EN→ES),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Haiku,c0_neutral,omission (EN→EL),omission,"{1: np.int64(14), 2: np.int64(6)}"
Haiku,c0_neutral,omission (EN→EL),fluency,"{5: np.int64(17), 4: np.int64(3)}"
Haiku,c0_neutral,omission (EN→ES),omission,"{1: np.int64(14), 2: np.int64(6)}"
Haiku,c0_neutral,redundancy (EN→ES),addition,"{3: np.int64(9), 5: np.int64(8), 2: np.int64(2), 4: np.int64(1)}"
Haiku,c0_neutral,redundancy (EN→ES),redundancy,"{2.0: np.int64(17), 3.0: np.int64(3)}"
Haiku,c0_neutral,redundancy (EN→ES),fluency,"{5: np.int64(14), 4: np.int64(5), 3: np.int64(1)}"
Haiku,c0_neutral,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(11), 4.0: np.int64(6), 3.0: np.int64(3)}"
Haiku,c0_neutral,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(6), 2.0: np.int64(5), 4.0: np.int64(5), 3.0: np.int64(4)}"
Haiku,c0_neutral,ref_clarity (EN→EL),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Haiku,c0_neutral,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(16), 4.0: np.int64(4)}"
Haiku,c0_neutral,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(11), 4.0: np.int64(9)}"
Haiku,c0_neutral,untranslated (EN→ES),terminology,"{3: np.int64(10), 5: np.int64(8), 4: np.int64(2)}"
Haiku,c0_neutral,untranslated (EN→ES),fluency,"{5: np.int64(14), 3: np.int64(3), 4: np.int64(3)}"
Haiku,c1_safety,abstraction (EN→EL),omission,"{2: np.int64(16), 1: np.int64(1)}"
Haiku,c1_safety,func_words (EN→ES),function_words,"{3.0: np.int64(12), 2.0: np.int64(5)}"
Haiku,c1_safety,func_words (EN→ES),fluency,"{4: np.int64(10), 5: np.int64(7)}"
Haiku,c1_safety,grammar (EN→EL),mistranslation,"{2.0: np.int64(11), 5.0: np.int64(5), 3.0: np.int64(1)}"
Haiku,c1_safety,grammar (EN→EL),fluency,"{5: np.int64(14), 4: np.int64(2), 3: np.int64(1)}"
Haiku,c1_safety,locale_conv (EN→EL),fluency,"{5: np.int64(14), 4: np.int64(3)}"
Haiku,c1_safety,mistranslation (EN→ES),addition,"{2: np.int64(10), 3: np.int64(4), 5: np.int64(3)}"
Haiku,c1_safety,mistranslation (EN→ES),omission,"{2: np.int64(16), 5: np.int64(1)}"
Haiku,c1_safety,mistranslation (EN→ES),mistranslation,"{3.0: np.int64(6), 5.0: np.int64(4), 2.0: np.int64(4), 1.0: np.int64(2), 4.0: np.int64(1)}"
Haiku,c1_safety,redundancy (EN→ES),addition,"{5: np.int64(16), 3: np.int64(1)}"
Haiku,c1_safety,redundancy (EN→ES),redundancy,"{2.0: np.int64(13), 3.0: np.int64(4)}"
Haiku,c1_safety,redundancy (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(2)}"
Haiku,c1_safety,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(13), 3.0: np.int64(2), 4.0: np.int64(2)}"
Haiku,c1_safety,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(16), 3.0: np.int64(1)}"
Haiku,c1_safety,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(15), 3.0: np.int64(1), 4.0: np.int64(1)}"
Haiku,c1_safety,untranslated (EN→ES),terminology,"{5: np.int64(9), 3: np.int64(8)}"
Haiku,c1_safety,untranslated (EN→ES),fluency,"{5: np.int64(15), 4: np.int64(1), 3: np.int64(1)}"
Haiku,c2_trust,abstraction (EN→EL),abstraction,"{2: np.int64(18), 3: np.int64(2)}"
Haiku,c2_trust,abstraction (EN→EL),omission,"{2: np.int64(19), 3: np.int64(1)}"
Haiku,c2_trust,func_words (EN→ES),function_words,"{3.0: np.int64(19), 2.0: np.int64(1)}"
Haiku,c2_trust,func_words (EN→ES),fluency,"{4: np.int64(11), 5: np.int64(9)}"
Haiku,c2_trust,grammar (EN→EL),mistranslation,"{2.0: np.int64(10), 5.0: np.int64(7), 3.0: np.int64(2), 1.0: np.int64(1)}"
Haiku,c2_trust,grammar (EN→EL),fluency,"{5: np.int64(18), 4: np.int64(1), 3: np.int64(1)}"
Haiku,c2_trust,locale_conv (EN→EL),fluency,"{5: np.int64(19), 4: np.int64(1)}"
Haiku,c2_trust,mistranslation (EN→ES),addition,"{2: np.int64(12), 5: np.int64(4), 3: np.int64(4)}"
Haiku,c2_trust,mistranslation (EN→ES),mistranslation,"{3.0: np.int64(9), 2.0: np.int64(7), 5.0: np.int64(3), 4.0: np.int64(1)}"
Haiku,c2_trust,omission (EN→EL),omission,"{1: np.int64(16), 2: np.int64(4)}"
Haiku,c2_trust,omission (EN→EL),fluency,"{5: np.int64(18), 3: np.int64(2)}"
Haiku,c2_trust,omission (EN→ES),omission,"{1: np.int64(16), 2: np.int64(4)}"
Haiku,c2_trust,redundancy (EN→ES),addition,"{5: np.int64(14), 4: np.int64(6)}"
Haiku,c2_trust,redundancy (EN→ES),redundancy,"{2.0: np.int64(11), 3.0: np.int64(9)}"
Haiku,c2_trust,redundancy (EN→ES),fluency,"{5: np.int64(16), 4: np.int64(4)}"
Haiku,c2_trust,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(12), 4.0: np.int64(8)}"
Haiku,c2_trust,ref_clarity (EN→EL),referential_clarity,"{5.0: np.int64(15), 3.0: np.int64(5)}"
Haiku,c2_trust,ref_clarity (EN→EL),fluency,"{5: np.int64(14), 4: np.int64(6)}"
Haiku,c2_trust,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(16), 4.0: np.int64(4)}"
Haiku,c2_trust,ref_clarity (EN→ES),referential_clarity,"{5.0: np.int64(15), 4.0: np.int64(5)}"
Haiku,c2_trust,untranslated (EN→ES),untranslated,"{2: np.int64(19), 3: np.int64(1)}"
Haiku,c2_trust,untranslated (EN→ES),terminology,"{5: np.int64(15), 3: np.int64(3), 4: np.int64(2)}"
